slope,aspect,twi,rainfall,ndvi,landcover,river_proximity,landslide
25.344088,321.8207,14.982386,20005.668,0.71848667,10.0,86.67292,1
40.135063,214.35178,14.717911,20005.668,0.73792976,10.0,246.1568,1
56.682556,207.97456,14.346568,19835.902,0.43191442,30.0,523.54346,1
51.438686,160.39682,14.2584505,20005.668,0.28830343,30.0,672.6607,1
41.195007,217.32028,14.541285,19691.213,0.60192496,10.0,673.61194,1
45.047066,325.50958,13.841728,22209.299,0.71246254,10.0,73.14109,1
45.66163,312.8578,13.965066,22209.299,0.7552726,10.0,12.793462,1
31.655348,19.053299,14.361052,22209.299,0.6820023,10.0,184.59113,1
25.010464,25.5573,14.520989,22209.299,0.73757654,10.0,125.11091,1
46.0111,144.3475,13.841346,22209.299,0.46468624,30.0,164.7772,1
49.62716,139.20049,14.046868,22209.299,0.38107917,30.0,172.29022,1
26.663717,177.91158,14.984972,22209.299,0.33097437,30.0,1364.9484,1
39.549183,181.2698,14.713643,22209.299,0.38748574,10.0,1435.9991,1
40.572895,250.1058,14.641074,22209.299,0.552389,10.0,1494.8618,1
39.097828,162.9772,14.682072,22209.299,0.339647,10.0,1422.1407,1
63.032845,34.5492,13.637364,18678.152,0.84478265,10.0,197.89572,1
25.300842,41.11666,15.037242,24034.137,0.71328044,10.0,231.9067,1
36.509155,336.70874,13.99802,25576.104,0.6809937,10.0,19.331438,1
34.249775,183.08018,13.9198475,25688.568,0.58038306,10.0,142.52464,1
39.12752,308.089,13.770441,25576.104,0.61559236,10.0,77.69001,1
18.339727,129.40796,14.911743,25576.104,0.57800484,10.0,675.7998,1
47.097702,186.83556,14.4272585,25576.104,0.76817495,10.0,2141.3657,1
43.730938,176.71082,14.445424,25576.104,0.68655217,10.0,2002.1371,1
64.20279,226.48407,13.97296,25688.568,0.36949593,30.0,2250.7336,1
39.170994,134.05945,14.562134,25576.104,0.8415101,10.0,1930.3372,1
36.53236,26.378506,14.377658,19722.232,0.5805764,10.0,607.7217,1
34.85766,54.476963,14.387172,19722.232,0.6835092,10.0,548.2215,1
33.54458,55.836082,14.003288,19722.232,0.6495149,10.0,726.71924,1
49.993664,86.10484,13.375401,19722.232,0.42515254,10.0,122.39215,1
35.50759,268.69995,14.34263,24034.137,0.7365712,10.0,756.15967,1
68.29935,53.193375,13.200312,19722.232,0.651653,10.0,349.47092,1
43.444405,38.16722,14.029755,19722.232,0.73564714,10.0,216.75163,1
37.84767,8.124163e-09,13.912864,24034.137,0.6617724,10.0,410.77005,1
39.157925,322.6664,13.946287,21166.617,0.62994903,10.0,473.35162,1
32.690525,343.4397,14.055935,22628.705,0.45081124,10.0,181.3916,1
42.534805,243.8254,14.523324,25688.568,0.35318717,30.0,1418.8405,1
76.282326,229.00905,14.055187,25688.568,0.49919772,30.0,1731.8414,1
45.12317,177.91179,14.566669,25688.568,0.47028458,30.0,1686.7809,1
51.11815,217.2257,14.486531,25688.568,0.536232,30.0,1725.6533,1
51.321285,220.13039,14.43044,25688.568,0.6721423,30.0,1779.2748,1
47.016575,215.44469,14.60973,28701.984,0.5107917,10.0,1667.2792,1
37.297977,106.03733,14.744338,24495.367,0.66278213,10.0,1374.1201,1
60.728226,3.529009,14.48411,28701.984,0.68291765,10.0,1741.3684,1
40.149403,356.26794,14.443694,28701.984,0.6943719,10.0,1620.5134,1
55.722656,41.387474,14.54861,28701.984,0.68921024,10.0,1825.0135,1
37.00244,322.63257,14.105087,22628.705,0.6249298,10.0,244.47816,1
56.9807,257.23666,14.138989,28701.984,0.6283867,10.0,1336.117,1
44.88613,241.88031,14.821529,28701.984,0.47120458,30.0,1598.57,1
61.65681,236.024,14.418186,28701.984,0.805972,10.0,1692.9474,1
40.719788,199.89061,15.071564,28701.984,0.5660456,10.0,1910.9644,1
58.11565,106.979294,14.440375,28701.984,0.58532834,10.0,2140.2454,1
23.942616,98.385124,15.191268,28701.984,0.6000446,10.0,2247.904,1
59.16374,83.897865,13.935157,28701.984,0.43633223,10.0,2073.099,1
56.61678,77.68176,13.625356,24599.621,0.4295234,30.0,307.9936,1
67.631386,96.11866,13.941271,28701.984,0.70197564,30.0,2003.6346,1
26.184528,342.68628,15.008629,19062.879,0.51507384,10.0,1264.3414,1
44.34358,66.57726,14.24603,24599.621,0.7608524,10.0,901.3065,1
33.6123,3.157896,14.487446,19642.3,0.6979442,10.0,511.56863,1
72.057495,63.541424,13.265461,22422.459,0.62735385,30.0,289.76697,1
62.43829,116.06226,12.9577465,22422.459,0.68128324,10.0,190.65886,1
53.516422,161.0355,13.895619,19642.3,0.40624085,30.0,351.19974,1
55.198463,152.73079,13.7371645,19642.3,0.54003894,30.0,442.31476,1
60.54504,109.7701,13.554848,22422.459,0.7586435,10.0,420.5493,1
34.20797,70.52628,14.2761345,22422.459,0.76821315,10.0,473.57257,1
40.155987,86.70043,13.962096,22422.459,0.7544296,10.0,447.05658,1
